variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v9-10,1.5,1.5,1500,1050,765,2009140,2626,2219,-1495,13250,72,0,0,143,81,-2935,2,684.5,27.04,83.4,2988,-1500,0,7920,33
v9-10,1,1,1000,700,765,1545523,2020,1465,-1000,12820,2,0,0,185,75,-3865,5,399.9,21.21,83.2,2402,-1000,0,12128,18
v9-20,current/generic,3.5,7000,5000,765,3861747,5048,4410,-6999,40549,146,122,38,181,76,-14063,3,274.6,41.01,71,6305,-7000,0,2809,552
v9-20,3,3,6000,4200,765,3747803,4899,4280,-5996,40549,142,112,30,181,76,-12699,3,295.1,39.73,70.9,6077,-6082,0,3789,600
v9-20,2,2,4000,2800,765,3294655,4307,3470,-3999,30278,148,91,0,190,75,-11233,5,293.3,35.58,70.7,5351,-4018,0,6960,624
v9-20,1.5,1.5,3000,2100,765,2965379,3876,2915,-2999,28993,121,71,0,191,75,-8825,6,336,31.96,70.8,4762,-3000,0,9648,585
v9-20,1,1,2000,1400,765,2455267,3209,2112,-2000,28182,114,1,0,195,74,-6088,5,403.3,25.6,71.1,3714,-2062,0,14086,387
v9-40,current/generic,2.25,9000,5000,765,3183632,4162,627,-8996,69091,342,319,215,368,52,-68154,19,46.7,29.65,39,8649,-9000,0,18307,2982
v9-40,2,2,8000,5600,765,2962011,3872,0,-7995,67044,352,320,194,382,50,-63519,33,46.6,27.49,39.1,7989,-8000,0,19546,2532
v9-40,1.5,1.5,6000,4200,765,2362372,3088,-74,-6000,51474,350,296,93,385,50,-34768,16,67.9,23.07,38.8,6617,-6000,0,22303,2179
v9-40,1,1,4000,2800,765,1692616,2213,-31,-3999,43815,325,233,0,384,50,-26389,22,64.1,16.36,39.4,4583,-4000,0,26121,1429
v0-20-cATM,current/generic,3.5,7000,5000,765,1263234,1651,1466,-6899,11259,145,86,5,238,69,-13003,12,97.1,20.1,51,4096,-6988,0,24,44
v0-20-cATM,3,3,6000,4200,765,1281240,1675,1466,-5899,11259,147,80,3,236,69,-13130,7,97.6,20.09,50.9,4063,-5965,0,81,95
v0-20-cATM,2,2,4000,2800,765,1175132,1536,1332,-4000,12947,165,82,0,256,66,-11800,11,99.6,19.4,50.4,3847,-4139,0,678,256
v0-20-cATM,1.5,1.5,3000,2100,765,1053243,1377,1102,-2997,13456,159,89,0,276,64,-14979,12,70.3,17.58,49.9,3458,-3087,0,1875,320
v0-20-cATM,1,1,2000,1400,765,764597,999,586,-2150,14972,213,5,0,320,58,-14946,35,51.2,13.33,49.3,2651,-2372,1,4524,353
v0-40-cATM,current/generic,2.25,9000,5000,765,1436143,1877,1018,-8978,32887,252,202,64,328,57,-32618,13,44,22.24,33.7,5870,-8998,0,441,935
v0-40-cATM,2,2,8000,5600,765,1436546,1878,949,-7993,32887,254,197,54,328,57,-32561,11,44.1,21.63,34.1,5739,-8460,0,671,651
v0-40-cATM,1.5,1.5,6000,4200,765,1413806,1848,858,-5998,30701,250,186,32,322,58,-33243,16,42.5,20.28,33.6,5193,-6295,0,1701,821
