variant,rung,k,lossMax,lossTarget,days,total,avgDaily,median,worst,best,daysUnder1k,daysUnder2k,daysUnder5k,negDays,winRate,maxDD,ddSpanDays,retDD,opens,coverFillRate,coverPending,worstHeldFloor,capExceeded,opensBlocked,offsets
v7-40-cATM,2.125,2.13,8500,5950,765,2520874,3295,-2087,-8500,75003,416,386,289,435,43,-79287,37,31.8,25.38,35.8,8497,-8500,0,21919,2082
v7-40-cATM,1.875,1.88,7500,5250,765,2387675,3121,-1980,-7500,74646,413,382,249,439,42,-70626,14,33.8,23.73,35.4,7877,-7500,0,23026,1978
v7-40-cATM,1.625,1.63,6500,4550,765,2147026,2807,-1857,-6500,68344,408,373,175,444,42,-59888,63,35.9,21.36,35.8,7071,-6500,0,24439,1697
v7-40-cATM,1.375,1.38,5500,3850,765,1757278,2297,-1466,-5500,71568,410,356,107,446,42,-52533,32,33.5,18.48,35.8,6136,-5500,0,26134,1443
v7-40-cATM,0.875,0.88,3500,2450,765,1233189,1612,-897,-3496,59390,376,247,0,459,40,-33669,22,36.6,12,36.4,4062,-3500,0,29656,807
v8-40-cATM,current/generic,2.25,9000,5000,765,404216,528,617,-9000,25056,281,210,150,342,55,-86797,216,4.7,7.55,39.2,1579,-9000,0,2494,409
v8-40-cATM,2.125,2.13,8500,5950,765,398382,521,589,-8500,25056,282,213,155,345,55,-82850,64,4.8,7.28,39.9,1542,-8500,0,2690,247
v8-40-cATM,1.875,1.88,7500,5250,765,372675,487,386,-7495,25056,289,221,154,353,54,-64983,64,5.7,6.85,40,1434,-7500,0,3173,250
v8-40-cATM,1.625,1.63,6500,4550,765,347090,454,215,-6485,22083,303,227,151,363,52,-57432,50,6,6.44,40.2,1340,-6500,0,3743,224
v8-40-cATM,1.375,1.38,5500,3850,765,447632,585,34,-5500,22083,323,234,49,379,50,-39728,62,11.3,5.81,40.1,1194,-5500,0,4519,216
v8-40-cATM,0.875,0.88,3500,2450,765,250554,328,-1132,-3500,17147,388,223,0,433,43,-34424,33,7.3,4.26,39.9,935,-3500,0,7869,127
v9-40-cATM,current/generic,2.25,9000,5000,765,3702718,4840,-189,-9000,197523,363,341,240,389,49,-72137,18,51.3,30.13,41.8,8855,-9000,0,18615,2586
v9-40-cATM,2.125,2.13,8500,5950,765,3627275,4742,-364,-8500,197523,371,337,223,393,48,-83526,14,43.4,29,41.8,8543,-8500,0,19278,2311
v9-40-cATM,1.875,1.88,7500,5250,765,3446507,4505,-544,-7500,197523,370,341,186,393,48,-54781,12,62.9,27.03,41.4,7914,-7500,0,20588,2205
v9-40-cATM,1.625,1.63,6500,4550,765,3050561,3988,-696,-6500,197523,366,332,138,405,47,-54274,14,56.2,24.67,41.7,7148,-6500,0,22105,1946
v9-40-cATM,1.375,1.38,5500,3850,765,2682207,3506,-547,-5500,194189,358,308,73,399,48,-41734,23,64.3,21.72,41.8,6254,-5500,0,23884,1713
v9-40-cATM,0.875,0.88,3500,2450,765,1795213,2347,-332,-3500,53423,330,209,0,407,47,-28125,14,63.8,14.35,42.5,4177,-3500,0,28009,948
